Julia Jentsch	{'F'}
Peter Gantzler	{'M'}
Maciej Stuhr	{'M'}
Andrzej Hudziak	{'M'}
Małgorzata Hajewska	{'F'}
Izabela Kuna	{'F'}
Rafal Mackowiak	{'M'}
Renata Dancewicz	{'F'}
Roman Gancarczyk	{'M'}
Andrzej Kuchno	{'M'}
Maria Mamona	{'F'}
Ewa Worytkiewicz	{'F'}
Boguslawa Schubert	{'F'}
Wojciech Michniewski	{'M'}
Lon Chaney, Sr.	{'M'}
Cleo Madison	{'F'}
Junko Miyashita	{'F'}
Meika Seri	{'F'}
Hatsuo Yamaya	{'M'}
Hideaki Esumi	{'M'}
Tommy Wiseau	{'M'}
Tony Bill	{'M'}
Hal Fishman	{'M'}
Paul Moyer	{'M'}
Sydney Pollack	{'M'}
Bob Hoover	{'M'}
Nicholas Pryor	{'M'}
Stephen Collins	{'M'}
Janet Julian	{'F'}
Bo Svenson	{'M'}
Lance Henriksen	{'M'}
Victoria Racimo	{'F'}
Robert Hoy	{'M'}
Walter Robles	{'M'}
Kurt Woodruff	{'M'}
Mark Baer	{'M'}
Michael Flynn	{'M'}
Sherry Sailer	{'F'}
Alan Gregory	{'M'}
Michael Phenicie	{'M'}
Marc Di Nunzio	{'M'}
Benny Bartlett	{'M'}
Huntz Hall	{'M'}
David Gorcey	{'M'}
Leo Gorcey	{'M'}
Barry Corbin	{'M'}
Lou Diamond Phillips	{'M'}
Todd Bridges	{'M'}
Amy Locane	{'F'}
Steven Brand	{'M'}
John Forsythe	{'M'}
Al Pacino	{'M'}
Jack Warden	{'M'}
Lee Strasberg	{'M'}
Thomas G. Waites	{'M'}
Dominic Chianese	{'M'}
Larry Bryggman	{'M'}
Christine Lahti	{'F'}
Jeffrey Tambor	{'M'}
Craig T. Nelson	{'M'}
Sam Levene	{'M'}
Shin Min-a	{'F'}
Kim Tae Woo	{'M'}
Joo Ji Hoon	{'M'}
Ji-Yeong Hong	{'F'}
Mathieu Amalric	{'M'}
Michael Lonsdale	{'M'}
Édith Scob	{'F'}
Jean-Pierre Kalfon	{'M'}
Lou Castel	{'M'}
Delphine Chuillot	{'F'}
Valérie Dréville	{'F'}
Nicolas Maury	{'M'}
Laetitia Spigarelli	{'F'}
Olivia Newton-John	{'F'}
Daniel Baldwin	{'M'}
William Baldwin	{'M'}
Diahann Carroll	{'F'}
